,link_id,link_dir,link_name,from_node_id,to_node_id,link_type,link_length,number_of_lanes,link_speed_limit,link_geometry,right_turn_lanes,left_turn_lanes,straight_turn_lanes,u_turn_lanes
10,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.02258524504622 22.517085671214502 -3.75476498616424,114.0215860903465 22.5169998707201 -3.72909208520462,114.02107089748016 22.516951446579565 -3.716151222964055,114.02055615992795 22.516903282036708 -3.7027249996082987,114.02004212986307 22.51685300110711 -3.689368859378026,114.01952879506408 22.51680089302824 -3.6760177026125804,114.01901614407866 22.51674724594037 -3.662606766027997,114.01850569391524 22.51669307368501 -3.648984395353325,114.01799531008375 22.516638945304173 -3.634915636937324,114.01748491272309 22.516584841932133 -3.6204009622663946,114.01697450103148 22.51653077015493 -3.6054390328633246,114.01646407568373 22.516476724548042 -3.5900313110536195,114.0159536383074 22.516422691918557 -3.574181088832913,114.01544319052928 22.51636865907302 -3.557891649752081,114.0149327339766 22.51631461281679 -3.5411662787693308,114.01442226750183 22.516260562570068 -3.524002973095567,114.01391179252808 22.51620649680338 -3.5064046278281684,114.0134013119172 22.5161523922798 -3.488376879755042,114.01289082432329 22.516098260033633 -3.4699173460781796,114.01238033045415 22.51604409436224 -3.451027560901351,114.01186983128886 22.515989887353676 -3.4317095748582127,114.01135932780667 22.51593563109561 -3.41196543576743,114.0108488209873 22.51588131767531 -3.3917971970773158,114.01033831181081 22.51582693917965 -3.3712069066063215,114.00982780125797 22.51577248769515 -3.350196617802556,114.00931729031042 22.515717955307977 -3.3287683798917107,114.00880677995066 22.51566333410395 -3.306924243506826,114.00829627116232 22.515608616168624 -3.2846662606882924,114.00778576493036 22.51555379358719 -3.2619964806615362,114.00727526224107 22.5154988584446 -3.238916956874221,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
11,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.01824524757 22.51421613836456 -4.194000960047255,114.01708406382826 22.514116363935344 -4.155099631036629,114.01648532707078 22.514060056597753 -4.135235686341172,114.01588712000009 22.51400406315176 -4.114726858662452,114.01528973697238 22.513945610193133 -4.0942084669801675,114.01469316378892 22.51388503373698 -4.073606892435049,114.01409738714736 22.513822668519076 -4.05284892010037,114.01350417593771 22.513759693393116 -4.031780087944793,114.01291104214994 22.513696768972913 -4.010110915385739,114.01231789268034 22.51363387327927 -3.987841058996648,114.01172472658935 22.513571014026883 -3.9649689790322213,114.01113154466053 22.513508184918248 -3.941496344705918,114.0105383487894 22.513445370593082 -3.9174269026097543,114.00994514087054 22.51338255569052 -3.8927644049653023,114.00935192279904 22.51331972484826 -3.867512598364181,114.00875869323198 22.51325688908743 -3.841669183042945,114.00816545382628 22.513194034988395 -3.81523746084216,114.00757220791795 22.513131135473273 -3.788223870782217,114.00697895393255 22.51306820344604 -3.760625678200401,114.0063856926923 22.513005232284975 -3.7324446283098216,114.0057924253361 22.51294221279085 -3.703683054632583,114.00519915300302 22.512879135763953 -3.6743432977277752,114.00460587683261 22.5128159920041 -3.6444276897096466,114.00401259796499 22.51275277231066 -3.613938571136893,114.00341931754107 22.512689467482602 -3.5828782741233747,114.00282603670271 22.512626068318472 -3.5512491364125345,114.00223275659297 22.512562565616445 -3.5190534957476305,114.00163947835611 22.51249895017432 -3.4862936856494358,114.00104620313797 22.51243521278954 -3.4529720466757556,114.00045293208608 22.512371344259247 -3.4190909137544767,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
12,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.01390542869062 22.511346487166843 -4.586077954430454,114.01258222349942 22.511232729909253 -4.531416269864345,114.01189994683645 22.511168534661234 -4.503281845329093,114.0112182742458 22.5111047075166 -4.47432137941505,114.0105375422917 22.511038077653673 -4.445246327646146,114.00985773479613 22.510969027865453 -4.415975113535608,114.00917883660455 22.51089793948354 -4.386426636306884,114.00850286846698 22.510826156389918 -4.35644974008213,114.00782698886194 22.510754430749145 -4.325695789707195,114.0071510914438 22.510682737467747 -4.294163376315346,114.00647517513518 22.51061108538902 -4.261850764519513,114.00579924082852 22.51053946734252 -4.228759819157935,114.00512329068735 22.510467865800603 -4.194894730155704,114.00444732687426 22.510396263234977 -4.160259683215243,114.0037713515524 22.51032464211575 -4.124858873890726,114.0030953631833 22.510253015064894 -4.088689716700108,114.00241936365786 22.510181366772677 -4.051755903333844,114.00174335678665 22.51010966632027 -4.014064631410026,114.0010673407665 22.510037928481285 -3.9756128369163015,114.00039131653423 22.50996614571497 -3.936402463504009,113.9997152853886 22.509894307534786 -3.8964361177273843,113.99903924862866 22.509822403453654 -3.8557164131774977,113.99836320755402 22.509750422983945 -3.8142459507781115,113.99768716346495 22.509678355637575 -3.7720273469344767,113.99701111766268 22.509606190925936 -3.7290632053845587,113.9963350714495 22.509533918359978 -3.685356134088312,113.99565902612909 22.509461527450213 -3.640908745227694,113.99498298300662 22.509389007706755 -3.595723646762038,113.99430694338902 22.50931634863929 -3.549803445242941,113.99363090858512 22.509243539757176 -3.503150750036588,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
13,85_1,single,滨河大道,85_1_186,85,driving,299.3509476311229,7,Not Defined,"LINESTRING(114.00956578844686 22.508476717685323 -4.930995941692063,114.00808056940399 22.508348968710038 -4.858041976659064,114.00731475682413 22.50827688084047 -4.820289671289006,114.006549622715 22.508205215204036 -4.781508532419396,114.00578554587403 22.508130403563896 -4.7424824153389915,114.00502250814192 22.50805287549129 -4.703122341872965,114.00426049250977 22.50797305891386 -4.663339885556151,114.003501771566 22.507892462758065 -4.6229933218316,114.00274315028618 22.507811930718095 -4.581670227701802,114.00198450908358 22.507731434585413 -4.539367881146383,114.00122584674293 22.507650984331917 -4.496084358168945,114.00046716426554 22.507570571914176 -4.451821705153164,113.99970846408318 22.507490177637244 -4.40658453705541,113.99894974862654 22.507409781805404 -4.360377454757099,113.99819102032708 22.507329364721144 -4.3132050760283835,113.99743227745067 22.507248940607322 -4.265064545145249,113.99667352212235 22.50716849226409 -4.2159599225310505,113.9959147586275 22.5070879849317 -4.165899130617535,113.99515598493427 22.507007435253424 -4.114878790111637,113.994397202094 22.506926834769427 -4.062901030430346,113.9936384115656 22.506846171705917 -4.009968726932006,113.9928796148082 22.506765434288425 -3.956084742307413,113.99212081328159 22.50668461074194 -3.9012519434691004,113.99136200844636 22.506603689290856 -3.8454731959215938,113.99060320176423 22.506522658159064 -3.7887513722060606,113.98984439469811 22.506441505569914 -3.7310893364184907,113.9890855887125 22.506360219746288 -3.672489955469225,113.9883267852736 22.5062787889106 -3.612956101897846,113.98756798584962 22.506197201284806 -3.552490635576477,113.98680919191094 22.506115445090483 -3.4910964304511465,114.04140568206242 22.531018295378214 -0.9255918268236673)",0.0,0.0,7.0,0.0
14,186_-1,single,滨河大道,85_-1_186,186_-1_62,driving,33.13481070908709,8,Not Defined,"LINESTRING(114.04430713556026 22.531206724809305 -0.9089102492146308,114.0443071878755 22.531206113007247 -0.9090671479674756,114.04440383720599 22.531210267805367 -0.9088929927063413,114.04450057470123 22.531213350780025 -0.9090143255487344,114.04462764706551 22.531217306369747 -0.909136643633120,114.04462764706543 22.531217306369843 -0.9091366436331209)",0,0,8,0
15,186_1,single,滨河大道,186_1_62,85_1_186,driving,33.13481070908709,8,Not Defined,"LINESTRING(114.04460993826882 22.531464835223435 -0.845630341511642,114.04460993751398 22.531464845773534 -0.845627630779386,114.0444821431647 22.531453502913546 -0.8473904299407536,114.04438487594942 22.531444345908003 -0.8488193966836541,114.04428755673551 22.531435689519494 -0.850140007324692)",0.0,0.0,8.0,0.0
16,209_-1,single,滨河大道,1_-1_209,209_-1_234,driving,28.367659937098587,8,Not Defined,"LINESTRING(114.04657537767548 22.53125524203276 -0.9108405572123215,114.04657537767548 22.53125524203276 -0.9108405572123215,114.04667257041248 22.531256710288254 -0.9109029378948375,114.04685108188482 22.531259399864016 -0.910977875817484)",0,0,8,0
17,209_1,single,滨河大道,209_1_234,1_1_209,driving,28.367659937098587,8,Not Defined,"LINESTRING(114.04684636377311 22.531530464567076 -0.8415376892483248,114.04666783151325 22.53152756177122 -0.841517333318487,114.04657063836149 22.531525925251593 -0.8414980893116736)",8.0,0.0,0.0,0.0
18,234_-1,single,滨河大道,209_-1_234,234_-1_6953,driving,51.89037942250015,8,Not Defined,"LINESTRING(114.04685108188482 22.531259399864016 -0.9109778758174844,114.04685108188485 22.531259399862154 -0.910977875817484,114.0469482704242 22.531260546669298 -0.9110780533324064,114.04704544734547 22.53126216469152 -0.9110410334566835,114.04714261115657 22.531264351415828 -0.9108424378977752,114.04723977816242 22.53126615989395 -0.910725181190277,114.04735531363151 22.531268041759485 -0.91063514581376)",0,0,8,0
19,234_1,single,滨河大道,234_1_6953,209_1_234,driving,51.89037942250015,8,Not Defined,"LINESTRING(114.04735079653449 22.531538901191322 -0.8412476707063213,114.04723519422333 22.53153730748675 -0.8412637154857466,114.04713797864494 22.531535739556805 -0.8413193290808916,114.04704077065738 22.531533943268172 -0.8414180610507614,114.04694356067147 22.53153247599348 -0.8414163974036137,114.04684636377311 22.531530464567076 -0.8415376892483248)",0.0,0.0,8.0,0.0
