,lane_Connection_id,upstream_lane_id,downstream_lane_id,node_id,lane_connnection_geometry
46,3541,3273_-1__1,4623_-1__1,9731,"LINESTRING(114.05101864032224 22.541781030935894 0.0003867790571234764,114.05101879960105 22.54169856830022 0.00011924195052738604)"
47,3548,4746_-1__1,2875_-1__2,9732,"LINESTRING(114.05282422075423 22.542301733268058 6.615380243601976e-09,114.05298245420036 22.542273982387034 -2.296775370271235e-05)"
48,3551,4746_-1__2,2875_-1__3,9732,"LINESTRING(114.05281612006085 22.542269381497043 1.4378088053490501e-08,114.05296653310273 22.54223991401199 -2.2972283236326018e-05)"
49,3554,4746_-1__3,2875_-1__4,9732,"LINESTRING(114.05280790056565 22.542236555250774 6.985374056966975e-09,114.0529504547694 22.542205509161512 -2.29723052602114e-05)"
50,3557,2888_-1__1,2875_-1__1,9732,"LINESTRING(114.0529116926555 22.542375313583396 -2.433142827840129e-05,114.05299726072435 22.54230566575184 -2.2971059879995725e-05)"
51,3563,3143_-1__5,3128_-1__1,9728,"LINESTRING(114.05044223467202 22.542746060585177 -5.1161350711481646e-09,114.0503330153619 22.54278201028992 -4.4525449910482687e-10)"
52,3582,3572_-1__1,3143_-1__5,9727,"LINESTRING(114.05094938940344 22.54281815458772 -1.323650735685078e-07,114.05089891782903 22.542741248518187 -2.207752735869418e-09)"
53,3594,3296_-1__4,4756_-1__4,9733,"LINESTRING(114.05153545527743 22.542369415214175 2.2838548829895444e-09,114.05165048414196 22.542370286728445 -7.39726147003734e-09)"
54,3594,3296_-1__3,4756_-1__3,9733,"LINESTRING(114.05153503516343 22.54239953764735 2.2838548829895444e-09,114.05164988926592 22.542401355079797 -7.39726147003734e-09)"
55,3594,3296_-1__2,4756_-1__2,9733,"LINESTRING(114.05153456515816 22.54243323729795 2.2838548829895444e-09,114.05164924405503 22.542435052234733 -7.39726147003734e-09)"
56,3594,3296_-1__1,4756_-1__1,9733,"LINESTRING(114.0515341019562 22.54246644913299 2.2838548829895444e-09,114.05164860816582 22.542468262531685 -7.39726147003734e-09)"
57,3600,3296_-1__5,4756_-1__5,9733,"LINESTRING(114.05153585809506 22.542340532929956 1.1015686141035985e-09,114.05165106123803 22.542340146968318 -2.954095634630657e-09)"
58,3630,3606_-1__7,3096_-1__1,9734,"LINESTRING(114.05096175130808 22.544410606943714 -0.00024390645569383196,114.05097094397074 22.54432258919901 3.789250854416152e-09)"
59,3636,3606_-1__5,3440_-1__5,9734,"LINESTRING(114.05102142670756 22.54441008753607 -2.724179233837276e-05,114.05102349974976 22.544324138755425 0.0005425486382442086)"
60,3636,3606_-1__4,3440_-1__4,9734,"LINESTRING(114.05105303538878 22.544409812411335 -2.724179233837276e-05,114.05105487083263 22.544324558530242 0.0005425486382442086)"
61,3636,3606_-1__3,3440_-1__3,9734,"LINESTRING(114.05108385550342 22.54440954414438 -2.724179233837276e-05,114.05108494270559 22.544324960914654 0.0005425486382442086)"
62,3650,3440_1__5,3606_1__5,9734,"LINESTRING(114.05121680863411 22.544326725314022 0.0005425441074180526,114.0512142309623 22.54440840925469 -2.720793868184624e-05)"
63,3650,3440_1__4,3606_1__4,9734,"LINESTRING(114.05118105805677 22.544326246972965 0.0005425441074180526,114.05118128677394 22.544408696036555 -2.720793868184624e-05)"
64,3650,3440_1__3,3606_1__3,9734,"LINESTRING(114.05114409943207 22.544325752459937 0.0005425441074180526,114.05114462233867 22.544409015195544 -2.720793868184624e-05)"
65,3667,4746_-1__4,2875_-1__6,9732,"LINESTRING(114.05279896247241 22.54220085911688 6.980371836107224e-09,114.05293280786242 22.542167747813064 -2.29712180793841e-05)"
66,3670,4746_-1__5,2875_-1__7,9732,"LINESTRING(114.05278869519181 22.54215985459328 -0.0009685094192377619,114.05291505701855 22.542129764034787 -2.2954438965572493e-05)"
67,3679,1945_1__3,1831_-1__5,9736,"LINESTRING(114.04794082274606 22.537082485464236 -5.993044283059135e-09,114.04796965284038 22.537158840276355 -4.892612152154503e-09,114.04803421383222 22.537218017207927 -3.3566075558785953e-09,114.04812844011391 22.53724865185693 -2.0501289166836993e-09)"
68,3682,1945_1__2,1965_-1__1,9736,"LINESTRING(114.0479116594151 22.537082448302836 7.842970717319986e-11,114.0479090784146 22.53717328776437 8.085689872789433e-10,114.04790279195954 22.53726377226205 1.874736755179697e-09,114.04789457086596 22.53735395666416 3.111925523899946e-09,114.0478861717114 22.537443896002912 4.3551278064641784e-09,114.0478793370678 22.537533643306777 5.439336115896879e-09,114.04787571234661 22.53762977829594 6.237826361810584e-09)"
69,3685,1945_1__2,1965_-1__2,9736,"LINESTRING(114.0479116594151 22.537082448302836 7.842970717319986e-11,114.04791120561342 22.537172833788944 3.3063661221101025e-10,114.04791023593793 22.537263190076022 6.989602966268926e-10,114.04790893737902 22.53735351838375 1.126244704662176e-09,114.04790749676617 22.537443819934595 1.5553337805581886e-09,114.0479061007682 22.537534095948388 1.929071468556259e-09,114.04790487439392 22.537630046137945 2.2017019318858714e-09)"
70,3688,1831_1__3,1945_-1__1,9736,"LINESTRING(114.04812586249315 22.537387431247826 -4.651667495636502e-09,114.04802748774777 22.53736059495297 -2.6968894124334014e-09,114.047949846853 22.53730028760909 1.824732910149486e-10,114.04789334345642 22.537223341173668 3.26365781134844e-09,114.04785333275157 22.53708237396425 6.758891342926051e-09)"
71,3691,1831_1__7,1965_-1__2,9736,"LINESTRING(114.0481239390153 22.53749099133199 -1.9247437421654467e-08,114.04803382952197 22.537506796386378 -1.3390614923543481e-08,114.04795352972415 22.53754887385054 -5.175506912198879e-09,114.04790487439395 22.537630046137945 2.2017022356064095e-09)"
72,3700,1965_1__2,1945_-1__2,9736,"LINESTRING(114.04781738825183 22.53762924259617 6.237826255528489e-09,114.0478185348447 22.537538805043003 6.299739585391445e-09,114.04781992343827 22.537448447363865 6.3901608675549535e-09,114.04782136678192 22.53735816832992 6.495048831311598e-09,114.0478226781103 22.53726796672349 6.6003622059539576e-09,114.0478236711434 22.537177841335442 6.692059720774617e-09,114.04782416942362 22.537082336787083 6.758781978534223e-09)"
