,lane_Connection_id,upstream_lane_id,downstream_lane_id,node_id,lane_connnection_geometry
301,5894,2506_1__3,2581_-1__3,9726,"LINESTRING(114.05101804082547 22.549632307111573 -2.444721758365631e-09,114.05101935563728 22.54954220196553 -0.0006098428851335934,114.05101998003556 22.549452017290896 -0.0014950204054917644,114.0510201806762 22.549361758302474 -0.0025336782389320587,114.05102024797122 22.54927143175196 -0.003603959618590262,114.05102056479147 22.549181043647955 -0.00458400777760216,114.05102227032674 22.54904363461723 -0.00562661447175025)"
302,5899,3380_-1__3,2581_-1__5,9726,"LINESTRING(114.05067896581556 22.54929334883027 2.555452738306485e-09,114.05076647165744 22.549275316606 -0.0009723331322397099,114.0508431488344 22.549227753687457 -0.002404311274136452,114.05090345920276 22.549162470648092 -0.003932320409122248,114.0509475775635 22.549042281964955 -0.005626843386044638)"
303,5902,2963_1__6,2616_1__5,9744,"LINESTRING(114.05120298221738 22.547114462224947 0.0005826350222264409,114.05120111555411 22.54720770171066 0.00044206145167766645,114.05119766448 22.5472995580543 0.00023492720583088807,114.05119384760742 22.547389948237225 5.002021480567586e-06,114.0511924575088 22.547478773379595 -0.00020394436457883328,114.05119045842612 22.547569203195902 -0.00035207433222311476)"
304,5902,2963_1__5,2616_1__4,9744,"LINESTRING(114.05117320743369 22.547114049972333 0.0005826350222264409,114.05117050236593 22.54720610276562 0.00044206145167766645,114.05116569713257 22.54729726273432 0.00023492720583088807,114.05116016725057 22.547387507560416 5.002021480567586e-06,114.05115649771902 22.547476823555808 -0.00020394436457883328,114.05115366516071 22.547568643211218 -0.00035207433222311476)"
305,5902,2963_1__4,2616_1__3,9744,"LINESTRING(114.05114222329416 22.547113620969487 0.0005826350222264409,114.05113887208105 22.54720445069085 0.00044206145167766645,114.0511328290835 22.54729490273542 0.00023492720583088807,114.05112584361478 22.547385020260496 5.002021480567586e-06,114.05112007614545 22.547474848684782 -0.00020394436457883328,114.0511164711982 22.547568077119465 -0.00035207433222311476)"
306,5907,780_-1__3,2616_1__3,9744,"LINESTRING(114.05083146499534 22.547322568668502 0.00018433888652680253,114.05093107108918 22.547345234492205 7.813482317819084e-05,114.0510169740356 22.547395123894923 -7.73643512224385e-05,114.05108356338935 22.547467088987165 -0.000234744149516645,114.05111647233441 22.547568077136788 -0.0003521063110315945)"
307,5919,1583_-1__2,5736_-1__2,9767,"LINESTRING(114.05242771169229 22.539433815074815 0.00018866477910250978,114.05252609618013 22.539441054679372 0.00014922243885245268,114.05262274084633 22.539449544880632 9.469939198314466e-05,114.0527222534501 22.53945611195479 5.284538222453155e-05)"
308,5919,1583_-1__1,5736_-1__1,9767,"LINESTRING(114.05242599193508 22.539460857285473 0.00018866477910250978,114.05252338871644 22.539468028073408 0.00014922243885245268,114.05262013670139 22.539476528488365 9.469939198314466e-05,114.05272092691499 22.539483176839386 5.284538222453155e-05)"
309,5923,5736_1__2,1583_1__2,9767,"LINESTRING(114.05271807599847 22.539541343178733 5.284538241312475e-05,114.0526190638321 22.53953497509818 9.228772266286158e-05,114.05252229544095 22.539523632391234 0.00014681076953184107,114.05242256460305 22.5395147501177 0.00018866477929390388)"
310,5923,5736_1__1,1583_1__1,9767,"LINESTRING(114.0527195512032 22.53951124505201 5.284538241312475e-05,114.05262187626153 22.53950547746003 9.228772266286158e-05,114.0525250882002 22.539496007347864 0.00014681076953184107,114.05242427207097 22.53948790116804 0.00018866477929390388)"
311,5927,5736_1__2,1583_1__3,9767,"LINESTRING(114.0527180760399 22.539541342333326 5.284538241312475e-05,114.0526251187389 22.539541503454416 9.212666653061422e-05,114.05252769402261 22.539542381354703 0.00014648406196259668,114.05242087851427 22.539540942218878 0.00018866444731567436)"
312,5927,5736_1__1,1583_1__2,9767,"LINESTRING(114.05271955122177 22.539511244673267 5.284538241312475e-05,114.05262380155072 22.539512139719605 9.212666653061422e-05,114.05252653502224 22.539515284883937 0.00014648406196259668,114.0524225443449 22.53951474924656 0.00018866444731567436)"
313,5931,5736_1__1,1583_1__5,9767,"LINESTRING(114.05271690961105 22.539574950420715 5.2845460203343464e-05,114.05262005215815 22.539574747031686 9.209708022511152e-05,114.05252256002304 22.539574792109363 0.00014642391601081735,114.05241888476705 22.539571834582567 0.0001886648596459146)"
314,5931,5736_1__3,1583_1__4,9767,"LINESTRING(114.052717155989 22.539559160194017 5.2845460203343464e-05,114.05261997593675 22.539558952841382 9.209708022511152e-05,114.05252271242938 22.539558994984628 0.00014642391601081735,114.05241987912146 22.5395560611937 0.0001886648596459146)"
315,5944,2724_-1__2,2832_-1__2,9765,"LINESTRING(114.05348510810198 22.54737398009668 3.810214366239961e-10,114.0535822302767 22.547374709670798 7.034986387575285e-09,114.05367941662533 22.547374768220916 1.650823737803451e-08,114.05381412858272 22.54737547703724 2.6698785404796695e-08)"
316,5944,2724_-1__1,2832_-1__1,9765,"LINESTRING(114.05348499693719 22.547379608955147 3.810214366239961e-10,114.0535821720144 22.547380591235534 7.034986387575285e-09,114.05367937683707 22.547380965998727 1.650823737803451e-08,114.0538140518302 22.547381826144104 2.6698785404796695e-08)"
317,5948,2832_1__2,2724_1__2,9765,"LINESTRING(114.05381381780714 22.547401184954435 2.6698785404732917e-08,114.05371667910877 22.547401061630445 2.0044820453793376e-08,114.05361943999226 22.547401156883712 1.0571569463348005e-08,114.05348459315863 22.547400054384752 3.8102143656717874e-10)"
318,5948,2832_1__1,2724_1__1,9765,"LINESTRING(114.05381392530083 22.547392292884375 2.6698785404732917e-08,114.0537167413232 22.547391874811833 2.0044820453793376e-08,114.05361951414966 22.547391662950027 1.0571569463348005e-08,114.05348478389428 22.547390396437955 3.8102143656717874e-10)"
319,5986,3606_-1__7,3096_-1__2,9734,"LINESTRING(114.05096186853031 22.54441130129388 -2.7218846071264124e-05,114.05094162989785 22.544322851132552 -2.9252493693944677e-09)"
320,6004,2724_-1__6,5952_1__1,9765,"LINESTRING(114.05348742958913 22.54725790167769 1.448427155992249e-09,114.05354607335103 22.547215513318243 1.2601321539437115e-09,114.05357027420668 22.54708561997554 9.38882722512718e-10)"
321,6007,2832_1__3,5952_1__1,9765,"LINESTRING(114.05381360326867 22.54741893196 2.693610667847679e-08,114.05371481197342 22.547385349464694 2.2528583131621564e-08,114.05364595586956 22.547315165527433 1.6035119936153475e-08,114.05360022387411 22.547231913895455 9.0632321222215e-09,114.05357027385101 22.54708561996947 9.388826634104796e-10)"
322,6025,5611_-1__6,5756_-1__1,9763,"LINESTRING(114.05137043199038 22.538346680536208 1.7501065485703293e-08,114.05140283496746 22.538415949140735 1.3570419280348541e-08,114.05147878722988 22.53846290563631 8.121979170312468e-09,114.05157396278142 22.538483525441432 3.819081743656972e-09)"
323,6033,5756_1__1,5671_-1__7,9763,"LINESTRING(114.05157352502087 22.538510611540342 3.819081939582247e-09,114.05148410982505 22.538526551156423 -4.0136970521410724e-09,114.05140605976142 22.538571396565114 -1.4872420881924281e-08,114.05136428532616 22.53864603326264 -2.345936453176285e-08)"
324,6036,5756_1__1,5671_-1__8,9763,"LINESTRING(114.05157352500662 22.53851061242145 3.819081939582247e-09,114.05148690494298 22.538530931964416 1.7233786448927688e-09,114.05138644369312 22.538646696536386 -2.717115506470684e-09)"
325,6044,5992_-1__1,5611_1__7,9769,"LINESTRING(114.05090292468286 22.53847044439754 6.943423613847699e-10,114.05098560893737 22.538447815465577 2.2665345541488313e-09,114.05106893476496 22.538337420058106 5.218083819920655e-09)"
326,6047,5992_-1__1,5611_1__6,9769,"LINESTRING(114.05090292469185 22.538470444111244 6.943423613847699e-10,114.05098987740168 22.538453139004012 1.3562564651393461e-09,114.05109505964931 22.538338202112335 2.871331639043347e-09)"
327,6066,5779_1__1,5442_1__6,9764,"LINESTRING(114.05259866001252 22.537768908065335 -4.936498498864239e-08,114.0525846442902 22.537684595078687 2.108675088231096e-05,114.05254189355608 22.537608811428594 5.074069312851567e-05,114.05245553158124 22.53756273977474 7.744357268257595e-05)"
328,6074,5710_1__5,5779_-1__1,9764,"LINESTRING(114.05277463597757 22.53753668074612 1.826900160040168e-05,114.05270053584074 22.537569326615838 1.3802950109693396e-05,114.05265416767901 22.537643271116142 7.407035876259385e-06,114.05262781572802 22.53776947995195 -4.954285349342849e-08)"
329,6090,5442_-1__6,5579_1__1,9759,"LINESTRING(114.05246077839905 22.537296945317205 7.74186240448671e-05,114.05254043935885 22.537268191255432 4.099053779655235e-05,114.05258615385966 22.537194515936523 -1.8952641779384442e-10)"
330,6272,2310_1__2,1554_-1__1,9738,"LINESTRING(114.05090366033296 22.539440912115463 1.5222667570924386e-10,114.05100105244611 22.539442348376898 2.8520515573843834e-11,114.05109834612091 22.53944475016457 -1.5237398834646265e-10,114.05119554997808 22.53944760947492 -3.615531585829159e-10,114.05129267261353 22.539450419581648 -5.701133176667564e-10,114.05148255535171 22.539453848839724 -8.661800167457957e-10)"
331,6280,2310_1__2,1554_-1__2,9738,"LINESTRING(114.05090366033309 22.53944091210131 1.5222667570924386e-10,114.05100042636757 22.539440314974208 1.84283359510296e-10,114.05109733861156 22.539437646695742 2.31157990794713e-10,114.05119440726982 22.53943392937842 2.8536679700284333e-10,114.05129164251713 22.53943019043119 3.394260055750353e-10,114.05148274964749 22.53942675842424 4.162927786732274e-10)"
332,6293,4134_1__7,1486_-1__5,9781,"LINESTRING(114.05140428761842 22.537121413743627 9.964719541244449e-05,114.05143355897712 22.53719405207007 7.838326273983728e-05,114.05150447505329 22.53724749658239 4.802643406090108e-05,114.05162954676548 22.53728221809891 1.4149945350657391e-05)"
333,6301,1486_1__7,4291_-1__6,9782,"LINESTRING(114.05162117354782 22.537552669180258 1.4162386648308711e-05,114.05153374926671 22.53756942663465 1.0985403542621913e-05,114.05145651277478 22.537615385829053 6.386695399626171e-06,114.05138600450476 22.537735740678407 4.4890995043046886e-08)"
334,6324,2081_1__5,4314_1__4,9785,"LINESTRING(114.05139497175568 22.53511003487842 7.280682723376231e-10,114.05139323290649 22.535202975012403 5.595902009794133e-10,114.0513855452482 22.535294470771962 3.112978817701583e-10,114.05137654635143 22.5353845658222 3.663406480010945e-11,114.05136724232273 22.535559335207854 -3.76598337571942e-10)"
335,6324,2081_1__4,4314_1__3,9785,"LINESTRING(114.05136439866718 22.535109566245932 7.280682723376231e-10,114.051360600724 22.535200615679134 5.595902009794133e-10,114.05135183068619 22.535291042731043 3.112978817701583e-10,114.05134151275854 22.535380950555744 3.663406480010945e-11,114.05132841290704 22.53555841321323 -3.76598337571942e-10)"
336,6328,2081_1__5,4314_1__5,9785,"LINESTRING(114.05139497175568 22.53511003487842 7.280682723376231e-10,114.05139719755503 22.53519966112082 2.1893765300514e-09,114.05139934172702 22.535289644152424 4.343007406994764e-09,114.05140192887919 22.535380035727982 6.72405347148739e-09,114.05140479170524 22.535560226799422 1.0288221832090256e-08)"
337,6328,2081_1__4,4314_1__4,9785,"LINESTRING(114.05136439866716 22.535109566245932 7.280682723376231e-10,114.05136468306624 22.535199639409615 2.1893765300514e-09,114.05136566361425 22.535289838525724 4.343007406994764e-09,114.05136698310416 22.53538017527854 6.72405347148739e-09,114.05136724232212 22.535559335207832 1.0288221832090256e-08)"
338,6332,2081_1__3,1992_1__3,9785,"LINESTRING(114.05133475410699 22.535109111840626 8.402878393098945e-10,114.05130541992203 22.535201128439727 -3.4826085590329415e-09,114.05124071751361 22.535273690855465 -9.845949857123905e-09,114.05115778193041 22.535326370535568 -1.6591684446641782e-08,114.05101461867335 22.53536016168872 -2.369626573557832e-08)"
339,6335,1268_1__6,1992_1__4,9785,"LINESTRING(114.05154727817632 22.535410830546475 3.9454803868466115e-09,114.0514489348658 22.535408167717463 2.1630471205592956e-10,114.05135117200625 22.535403445945246 -5.263513021230872e-09,114.05125393134998 22.53539789125108 -1.1489724985857611e-08,114.05115715437363 22.535392560634705 -1.7458083354668107e-08,114.05101405439663 22.535387242159835 -2.369653276308828e-08)"
340,6335,1268_1__5,1992_1__3,9785,"LINESTRING(114.05154758599153 22.535381780787862 3.9454803868466115e-09,114.05145003364558 22.535379446298744 2.1630471205592956e-10,114.05135271007754 22.535375191242874 -5.263513021230872e-09,114.05125557449433 22.535370091668742 -1.1489724985857611e-08,114.05115858732897 22.535365141721577 -1.7458083354668107e-08,114.05101461867335 22.53536016168847 -2.369653276308828e-08)"
341,6339,1268_1__6,1992_1__5,9785,"LINESTRING(114.05154727817632 22.535410830546475 3.9454803868466115e-09,114.05145111804894 22.535411070563413 3.294841373105577e-09,114.05135445999592 22.53541283870169 2.3387746770058493e-09,114.0512573028288 22.535415122248423 1.2524174074386521e-09,114.05115964806518 22.535416971590188 2.1090667329520953e-10,114.0510134372092 22.535416861883824 -8.788632091434983e-10)"
342,6339,1268_1__5,1992_1__4,9785,"LINESTRING(114.05154758599153 22.535381780787862 3.9454803868466115e-09,114.05145073002194 22.535381897699107 3.294841373105577e-09,114.05135370546834 22.535383499116552 2.3387746770058493e-09,114.05125651725774 22.53538564786356 1.2524174074386521e-09,114.05115917178068 22.535387401817342 2.1090667329520953e-10,114.05101405439666 22.535387242159793 -8.788632091434983e-10)"
343,6343,4314_-1__3,1268_-1__3,9785,"LINESTRING(114.05127061377738 22.535557040770215 1.9471499967949057e-09,114.05129404958961 22.53546504231004 1.4085782772766936e-09,114.05134621715442 22.535385328220748 6.167342006788458e-10,114.05141967182985 22.53532133882211 -2.1192748524814837e-10,114.05154865537588 22.535280858602082 -1.0023022520440473e-09)"
344,6346,4314_-1__6,2081_-1__5,9785,"LINESTRING(114.05118628807193 22.53555503841518 7.312195293707191e-10,114.0511879652245 22.5354628483731 3.714211941077238e-10,114.05119223025405 22.535371704842763 -1.5884550304164218e-10,114.0511969126141 22.535281612915718 -7.448989378473484e-10,114.05120160700181 22.535107070833885 -1.6193393335328777e-09)"
345,6346,4314_-1__5,2081_-1__4,9785,"LINESTRING(114.05121455956353 22.53555570974045 7.312195293707191e-10,114.05121756818336 22.535464328990255 3.714211941077238e-10,114.05122292933144 22.535373615175356 -1.5884550304164218e-10,114.05122870436259 22.535283531221843 -7.448989378473484e-10,114.05123563048329 22.535107592388954 -1.6193393335328777e-09)"
346,6346,4314_-1__4,2081_-1__3,9785,"LINESTRING(114.05124227737862 22.535556367913475 7.312195293707191e-10,114.05124627092427 22.53546576457701 3.714211941077238e-10,114.0512522668378 22.535375440775006 -1.5884550304164218e-10,114.05125878684038 22.535285346385173 -7.448989378473484e-10,114.05126749520929 22.535108080845372 -1.6193393335328777e-09)"
347,6351,1992_-1__3,4314_1__3,9785,"LINESTRING(114.05101581437609 22.535302778115337 -8.236185067289625e-10,114.05111626352148 22.535321668014067 -7.429871141235158e-10,114.05120527137375 22.535366651021114 -6.243842120310748e-10,114.05127902294468 22.53543251952808 -4.997017157221844e-10,114.05132841290674 22.535558413213213 -3.765983057306856e-10)"
348,6354,1992_-1__5,1268_-1__4,9785,"LINESTRING(114.05101709428592 22.535241353261767 7.8673352277292e-09,114.05111394326694 22.53524478250041 6.668138411364951e-09,114.05121092794506 22.53524702521523 4.905845769868371e-09,114.05130802391848 22.53524873848392 2.904337266657619e-09,114.05140521581755 22.53525068442255 9.874928651508543e-10,114.05154895023608 22.53525303141178 -1.0023022412165273e-09)"
349,6354,1992_-1__4,1268_-1__3,9785,"LINESTRING(114.05101644149103 22.535272681905074 7.8673352277292e-09,114.05111351764333 22.53527511974306 6.668138411364951e-09,114.05121064791955 22.535276724239434 4.905845769868371e-09,114.05130781869785 22.535277916882944 2.904337266657619e-09,114.0514050208828 22.53527917158213 9.874928651508543e-10,114.05154865537588 22.535280858602082 -1.0023022412165273e-09)"
350,6358,1268_1__3,2081_-1__3,9785,"LINESTRING(114.05154819889538 22.535323938557156 9.233858122570382e-11,114.05144817959723 22.535304315846727 -2.742493640681895e-10,114.05136018899717 22.53525799917562 -8.076465658556543e-10,114.05126749520927 22.535108080845372 -1.6193393426683609e-09)"
351,6361,1268_1__4,2081_-1__3,9785,"LINESTRING(114.05154789404101 22.535352708911432 -1.0602470013054699e-09,114.05144772163813 22.535330391145187 -1.171469668510573e-09,114.05136247313237 22.535279396290655 -1.3342650742264423e-09,114.05129763746656 22.535206646425177 -1.4986669269034073e-09,114.05126749520929 22.535108080845372 -1.6193393382801292e-09)"
352,6364,1268_1__5,2081_-1__3,9785,"LINESTRING(114.05154758599153 22.535381780787862 3.9454803868466115e-09,114.0514476177701 22.535357277332924 2.9189767511965184e-09,114.05136558743075 22.535301677128608 1.410356314643318e-09,114.05130395160111 22.53522737324702 -1.6233067370012165e-10,114.05126749520929 22.535108080845372 -1.6193394767477414e-09)"
353,6375,1268_1__7,4336_1__6,9787,"LINESTRING(114.0516237371959 22.53544275908789 1.3774950886613624e-06,114.05154168161148 22.535468071960306 -5.1690499531685915e-05,114.05147762856943 22.535526952410468 -0.00012667469846882546,114.051440029781 22.535624748668422 -0.00020003163174536537)"
354,6383,4336_-1__7,1992_1__6,9788,"LINESTRING(114.05115573648219 22.535618034244862 -0.00019991292612075995,114.05112736775426 22.535541433751366 -0.00011408933155234496,114.05106022912184 22.53548378109982 8.09211739066406e-06,114.05094303444491 22.53544720824839 0.0001394457278266153)"
355,6397,3901_1__4,1900_1__4,9790,"LINESTRING(114.04960171628788 22.53743666390682 -0.00011172193411823628,114.04946416426826 22.53743295314409 6.682929646413711e-10)"
356,6397,3901_1__3,1900_1__3,9790,"LINESTRING(114.04960204875572 22.5374082112942 -0.00011172193411823628,114.0494642738694 22.53740488880929 6.682929646413711e-10)"
357,6401,1900_-1__5,3901_-1__5,9790,"LINESTRING(114.04946699223424 22.53726974540563 -1.5277379361577914e-09,114.04960228329116 22.537268319219443 -0.00011173055200740146)"
358,6401,1900_-1__4,3901_-1__4,9790,"LINESTRING(114.04946636160057 22.53729828188896 -1.5277379361577914e-09,114.04960219083588 22.53729846936382 -0.00011173055200740146)"
359,6401,1900_-1__3,3901_-1__3,9790,"LINESTRING(114.04946569517047 22.537328438166142 -1.5277379361577914e-09,114.04960210131978 22.53732766100499 -0.00011173055200740146)"
360,6406,3901_1__5,1900_1__5,9790,"LINESTRING(114.0496022205254 22.537464234628256 -0.00011172433808326332,114.04946281649414 22.5374591207336 6.956024024024217e-09)"
361,6442,2338_1__1,6409_1__3,9791,"LINESTRING(114.04952584310861 22.53762643419257 -1.2335448218436795e-09,114.04950205943663 22.53754712340059 2.232246278869089e-05,114.04936863023258 22.537457316967103 7.242878859639086e-05)"
362,6450,1790_1__7,2338_-1__1,9791,"LINESTRING(114.04969417135581 22.53751308638734 -0.0002161207766704365,114.04961246186177 22.537540288226364 -0.00012562441911437186,114.04955500172822 22.537626925982057 1.6060203262763316e-07)"
363,6458,1980_-1__1,1790_-1__3,9792,"LINESTRING(114.04956643143491 22.537161793332448 2.7041267003369285e-09,114.04960028947761 22.537230684306554 -9.675786178628661e-05,114.04969172971298 22.537270421432584 -0.00021621228870415896)"
364,6465,6427_-1__5,1980_1__1,9792,"LINESTRING(114.04941993183878 22.537238304563 0.00019852425748467795,114.04953731648882 22.537160229879504 -2.185073427889996e-08)"
365,6472,6010_-1__1,1583_1__2,9770,"LINESTRING(114.05257437348206 22.53969708280753 -2.530953224777477e-09,114.05255730121648 22.539625864789716 5.222319907287142e-05,114.05251014345079 22.53955763246711 0.00012519134057435445,114.0524223780704 22.53951473964349 0.00018791566394669637)"
366,6475,6010_-1__2,1583_1__3,9770,"LINESTRING(114.0525130061461 22.539696433183234 -1.602074917173013e-09,114.05249910940631 22.539616259368906 7.445440474088889e-05,114.0524206930778 22.53954093540883 0.0001879358345579525)"
367,6492,5768_-1__1,5736_-1__2,9767,"LINESTRING(114.05259380910454 22.53926553456698 1.2528434467640182e-07,114.05260868943755 22.539349423335146 1.6156607601773934e-05,114.05272277398632 22.53945613562636 5.2603056902891766e-05)"
368,6495,1583_-1__2,5768_1__1,9767,"LINESTRING(114.05242743474822 22.539433800518843 0.00018791256894701291,114.05250251775601 22.539402333836613 0.00012669632561137362,114.05256465179195 22.539264962649145 1.1327787291618178e-07)"
369,6524,5485_-1__1,5591_1__1,9762,"LINESTRING(114.05243708018132 22.536375437259412 3.2708911135159724e-09,114.05252354374505 22.536354797813356 1.8942379623455917e-09,114.05260102379667 22.53626199014259 -4.1934822415860724e-10)"
370,6532,5579_1__1,5485_1__1,9762,"LINESTRING(114.05259687825017 22.536520302279666 1.2261409665370593e-09,114.05256024603804 22.536451261349665 1.9888418734106656e-09,114.05243674831098 22.536402526662744 3.2708911489644075e-09)"
371,6540,5407_1__5,5591_-1__1,9760,"LINESTRING(114.05277314571158 22.535434856138398 0.00014548949788917298,114.0526956345373 22.535463874754168 8.528131345504402e-05,114.05264142580461 22.535555921298293 -9.531289696813319e-08)"
372,6548,5591_1__1,1335_1__6,9760,"LINESTRING(114.05261226588162 22.53555552577859 -3.7141205666557653e-09,114.05257507395898 22.535487299269757 -6.972294907114296e-07,114.05241796671469 22.535429881946424 -2.219857482928821e-06)"
373,6556,5514_1__6,5485_-1__1,9761,"LINESTRING(114.05142137190978 22.536245723881176 -0.00010803951067828166,114.05145339518933 22.536311646300202 -6.97593692841634e-05,114.05158289890588 22.53636640652146 -5.218261405935069e-10)"
374,6564,5485_1__1,5535_1__7,9761,"LINESTRING(114.05158256690665 22.536393492922162 -1.6625989474050584e-09,114.05149716932978 22.536415848174407 0.00014326521918777853,114.05142023034574 22.53651056948923 0.00038843965622220556)"
375,6655,5143_1__9,6648_-1__2,9757,"LINESTRING(114.04426587712564 22.53669568159166 -0.0009220588514580186,114.04418940564913 22.536593578715422 -2.1444514235104822e-09)"
376,6674,6648_-1__2,6661_1__4,9793,"LINESTRING(114.04352486423886 22.537055128973936 5.158202952825292,114.04356579473809 22.53710328942692 5.158174140913934)"
377,6674,6648_-1__1,6661_1__3,9793,"LINESTRING(114.04349793607913 22.53707445091469 5.158202952825292,114.04354291698206 22.537129888519786 5.158174140913934)"
378,6678,6661_-1__4,6803_-1__2,9793,"LINESTRING(114.04348411045689 22.537207012109857 5.1581741379488335,114.04340301057479 22.537129176293067 5.158203117422512)"
379,6678,6661_-1__3,6803_-1__1,9793,"LINESTRING(114.04350299882094 22.537181497114158 5.1581741379488335,114.04343443574395 22.53711723998633 5.158203117422512)"
380,6682,6648_-1__3,6661_1__5,9793,"LINESTRING(114.04353973796964 22.537043475145598 5.158202948396294,114.04357484585418 22.53708530892341 5.158174137008542)"
381,6703,61_-1__4,171_1__3,9794,"LINESTRING(114.04429557015241 22.55038316119435 -1.6506646716152318e-08,114.04425288339252 22.55048866655427 -1.2676220256122063e-08,114.04417322853634 22.550561362487745 -7.050021568606546e-09,114.04407637542788 22.550610163472513 -1.21514490499039e-09,114.04392774660936 22.550619954130337 3.985561376588174e-09)"
382,6703,61_-1__3,171_1__2,9794,"LINESTRING(114.04426641026328 22.55038260707989 -1.6506646716152318e-08,114.04423005290931 22.550473397895026 -1.2676220256122063e-08,114.04415683760786 22.550539012061634 -7.050021568606546e-09,114.04406654454154 22.55058171962803 -1.21514490499039e-09,114.04393640525403 22.550589387985006 3.985561376588174e-09)"
383,6707,61_-1__8,1184_-1__6,9794,"LINESTRING(114.04441221065888 22.550385374117 1.3196768122725189e-08,114.04440895209488 22.550479425894242 1.1380594344882933e-08,114.04440337629336 22.550571887531543 8.723649024488755e-09,114.04439738669797 22.550662818104303 5.654908873869847e-09,114.04439243809027 22.550752165019436 2.6033506053534057e-09,114.04438613009287 22.550918644904964 -1.6360674301354045e-09)"
384,6707,61_-1__7,1184_-1__5,9794,"LINESTRING(114.04438305069876 22.550384820022252 1.3196768122725189e-08,114.04437946904031 22.55047776001813 1.1380594344882933e-08,114.04437327105289 22.55056951834915 8.723649024488755e-09,114.04436625854183 22.55066015704307 5.654908873869847e-09,114.04436001531275 22.55074967349424 2.6033506053534057e-09,114.04435210862879 22.55091806020157 -1.6360674301354045e-09)"
385,6707,61_-1__6,1184_-1__4,9794,"LINESTRING(114.04435389066244 22.550384265920762 1.3196768122725189e-08,114.04434999916184 22.550476094881063 1.1380594344882933e-08,114.04434318495476 22.550567150667497 8.723649024488755e-09,114.04433514243266 22.55065749700557 5.654908873869847e-09,114.04432749792727 22.550747174692262 2.6033506053534057e-09,114.04431808716593 22.550917475490998 -1.6360674301354045e-09)"
386,6707,61_-1__5,1184_-1__3,9794,"LINESTRING(114.04432473055942 22.550383711812717 1.3196768122725189e-08,114.0443206711806 22.550474437756225 1.1380594344882933e-08,114.0443135189366 22.55056481603922 8.723649024488755e-09,114.04430488473027 22.550654910345234 5.654908873869847e-09,114.04429636772416 22.55074478248222 2.6033506053534057e-09,114.04428614693511 22.550916926543017 -1.6360674301354045e-09)"
387,6713,2440_1__3,61_1__5,9794,"LINESTRING(114.044506400386 22.550707232983434 -6.476739145000465e-10,114.04438995274121 22.550677323024175 -2.9080345510935408e-09,114.04429023022378 22.550624150972677 -6.235560056882898e-09,114.04420566274074 22.550547425658465 -9.766457112071108e-09,114.04413942090609 22.55038018989804 -1.3513499702749478e-08)"
388,6713,2440_1__2,61_1__4,9794,"LINESTRING(114.04450873721441 22.550681224783684 -6.476739145000465e-10,114.04440118604953 22.550654551845323 -2.9080345510935408e-09,114.0443084082165 22.550603320087454 -6.235560056882898e-09,114.04423144697594 22.550530607446337 -9.766457112071108e-09,114.04417343926508 22.550380838615038 -1.3513499702749478e-08)"
389,6713,2440_1__1,61_1__3,9794,"LINESTRING(114.04451102530028 22.55065575906407 -6.476739145000465e-10,114.04441260584574 22.550631402625992 -2.9080345510935408e-09,114.04432682456064 22.550582216057297 -6.235560056882898e-09,114.04425693570683 22.550513981973857 -9.766457112071108e-09,114.04420745861526 22.550381487343742 -1.3513499702749478e-08)"
390,6718,2440_1__7,171_1__5,9794,"LINESTRING(114.04449548144372 22.55081342702248 -8.365077519556507e-10,114.04438878649034 22.550799019967947 -2.610401856794913e-10,114.04428642783294 22.55077759585489 5.796081498680397e-10,114.04418802209267 22.550753355036036 1.5541834961975963e-09,114.04409328719612 22.550728059292 2.5314320948198336e-09,114.04400170743912 22.55070449164959 3.3801001872454044e-09,114.04391042978112 22.550681084751 3.985519475091761e-09)"
391,6718,2440_1__6,171_1__4,9794,"LINESTRING(114.04449833648762 22.550785956551593 -8.365077519556507e-10,114.04439485198611 22.550771733994917 -2.610401856794913e-10,114.04429478718636 22.55075040834006 5.796081498680397e-10,114.04419796206234 22.550725590334768 1.5541834961975963e-09,114.04410395707373 22.550699316269114 2.5314320948198336e-09,114.04401204372769 22.55067469758223 3.3801001872454044e-09,114.04391908831283 22.55065051903255 3.985519475091761e-09)"
392,6718,2440_1__5,171_1__3,9794,"LINESTRING(114.04450112653242 22.550759111474164 -8.365077519556507e-10,114.04440076826714 22.550745119262142 -2.610401856794913e-10,114.0443029517129 22.55072385445894 5.796081498680397e-10,114.04420774935524 22.550698252084487 1.5541834961975963e-09,114.0441144939462 22.55067093152931 2.5314320948198336e-09,114.04402235496264 22.550644975717788 3.3801001872454044e-09,114.0439277468436 22.550619953303485 3.985519475091761e-09)"
393,6718,2440_1__4,171_1__2,9794,"LINESTRING(114.04450377540111 22.550733624746467 -8.365077519556507e-10,114.04440639194397 22.55071982081654 -2.610401856794913e-10,114.0443108129662 22.55069828691782 5.796081498680397e-10,114.0442172031249 22.55067184543352 1.5541834961975963e-09,114.04412475501195 22.550643289759186 2.5314320948198336e-09,114.04403259620541 22.550615455590478 3.3801001872454044e-09,114.04393640534339 22.550589387669543 3.985519475091761e-09)"
394,6724,1184_1__4,2440_-1__3,9794,"LINESTRING(114.04420450358549 22.550915523332105 -2.5459030439378694e-09,114.04422719521857 22.550815633259802 -0.0003278936419508034,114.04427257458383 22.550726638365152 -0.0008111624910260762,114.04433767687985 22.550646685369564 -0.00133529749120529,114.04451808865034 22.550573236212724 -0.0019989299611497)"
